0	"used"	local:AM-MNR	"widely"
0	"used"	vn.role:Theme	"abstractions"
0	"entity-centric"	rdfs:member	"entity-centric knowledge"
0	"entity-centric knowledge"	rdfs:subClassOf	"knowledge"
0	"represent"	vn.role:Theme	"entity-centric knowledge"
1	"represented in graph"	local:in_graph	"represented"
1	"represented in graph"	local:represented_in	"graph"
1	"embed"	vn.role:Theme	"represented in graph"
1	"vector spaces-"	rdfs:subClassOf	"spaces-"
1	"vector"	rdfs:member	"vector spaces-"
1	"vector spaces"	rdfs:subClassOf	"spaces"
1	"embed"	vn.role:Destination	"vector spaces"
1	"represented"	local:AM-LOC	"graph"
1	"vector spaces-"	rdfs:subClassOf	"spaces-"
1	"vector"	rdfs:member	"vector spaces-"
1	"vector spaces"	rdfs:subClassOf	"spaces"
1	"represented"	vn.role:Predicate	"vector spaces"
1	"represented"	vn.role:Agent	"entities"
1	"represented"	local:AM-LOC	"graph"
1	"vector spaces-"	rdfs:subClassOf	"spaces-"
1	"vector"	rdfs:member	"vector spaces-"
1	"vector spaces"	rdfs:subClassOf	"spaces"
1	"represented"	vn.role:Predicate	"vector spaces"
1	"embeddings- ability"	rdfs:subClassOf	"ability"
1	"embeddings-"	rdfs:member	"embeddings- ability"
1	"knowledge graphs"	rdfs:subClassOf	"graphs"
1	"knowledge"	rdfs:member	"knowledge graphs"
1	"graphs embeddings"	rdfs:subClassOf	"embeddings"
1	"knowledge graphs embeddings"	rdfs:subClassOf	"graphs embeddings"
1	"to referred"	rdfs:subClassOf	"referred"
1	"often to referred"	rdfs:subClassOf	"to referred"
1	"often to referred as knowledge graphs embeddings"	local:as_knowledgegraphsembeddings	"often to referred"
1	"often to referred as knowledge graphs embeddings"	local:oftentoreferred_as	"knowledge graphs embeddings"
1	"similarity between entities"	local:between_entities	"similarity"
1	"similarity between entities"	local:similarity_between	"entities"
1	"represented"	local:AM-TMP	"often to referred as knowledge graphs embeddings"
1	"referred"	vn.role:Agent	"approaches"
1	"vector spaces-"	rdfs:subClassOf	"spaces-"
1	"graph"	rdfs:member	"graph graph"
1	"graph graph"	rdfs:subClassOf	"graph"
1	"vector"	rdfs:member	"vector spaces-"
1	"vector spaces"	rdfs:subClassOf	"spaces"
1	"represented in graph graph"	local:in_graphgraph	"represented"
1	"represented in graph graph"	local:represented_in	"graph graph"
1	"graph graph into vector spaces"	local:into_vectorspaces	"graph graph"
1	"graph graph into vector spaces"	local:graphgraph_into	"vector spaces"
1	"referred"	vn.role:Agent	"approaches"
1	"referred"	local:AM-TMP	"often"
1	"graphs"	rdfs:member	"graphs embeddings-"
1	"knowledge graphs"	rdfs:subClassOf	"graphs"
1	"graphs embeddings-"	rdfs:subClassOf	"embeddings-"
1	"knowledge graphs"	rdfs:member	"knowledge graphs embeddings-"
1	"knowledge"	rdfs:member	"knowledge graphs"
1	"knowledge graphs embeddings-"	rdfs:subClassOf	"embeddings-"
1	"increasingly popular"	rdfs:subClassOf	"popular"
1	"have become"	rdfs:subClassOf	"become"
1	"graphs embeddings"	rdfs:subClassOf	"embeddings"
1	"knowledge graphs embeddings"	rdfs:subClassOf	"graphs embeddings"
1	"increasingly popular for entities"	local:for_entities	"increasingly popular"
1	"increasingly popular for entities"	local:increasinglypopular_for	"entities"
1	"represented in graph"	local:in_graph	"represented"
1	"represented in graph"	local:represented_in	"graph"
1	"represented in graph into vector"	local:into_vector	"represented in graph"
1	"represented in graph into vector"	local:representedingraph_into	"vector"
1	"referred"	vn.role:Theme	"have become"
1	"often spaces"	rdfs:subClassOf	"spaces"
1	"vector often spaces"	rdfs:subClassOf	"often spaces"
1	"referred"	vn.role:Theme	"vector often spaces"
1	"to referred"	rdfs:subClassOf	"referred"
1	"often to referred"	rdfs:subClassOf	"to referred"
1	"referred"	vn.role:Theme	"often to referred"
1	"knowledge"	rdfs:member	"knowledge knowledge"
1	"knowledge knowledge"	rdfs:subClassOf	"knowledge"
1	"knowledge knowledge"	rdfs:member	"knowledge knowledge graphs"
1	"knowledge graphs"	rdfs:subClassOf	"graphs"
1	"knowledge"	rdfs:member	"knowledge graphs"
1	"knowledge knowledge graphs"	rdfs:subClassOf	"graphs"
1	"graphs embeddings"	rdfs:subClassOf	"embeddings"
1	"graphs graphs embeddings"	rdfs:subClassOf	"graphs embeddings"
1	"knowledge graphs graphs embeddings"	rdfs:subClassOf	"graphs graphs embeddings"
1	"knowledge knowledge graphs graphs embeddings"	rdfs:subClassOf	"knowledge graphs graphs embeddings"
1	"referred"	vn.role:Theme	"knowledge knowledge graphs graphs embeddings"
1	"embeddings- ability"	rdfs:subClassOf	"ability"
1	"similarity similarity"	rdfs:subClassOf	"similarity"
1	"embeddings-"	rdfs:member	"embeddings- ability"
1	"ability"	rdfs:member	"ability ability"
1	"embeddings- ability"	rdfs:member	"embeddings- ability ability"
1	"similarity"	rdfs:member	"similarity similarity"
1	"embeddings- ability ability"	rdfs:subClassOf	"ability"
1	"ability ability"	rdfs:subClassOf	"ability"
1	"similarity similarity between entities"	local:between_entities	"similarity similarity"
1	"similarity similarity between entities"	local:similaritysimilarity_between	"entities"
