0	"naming"	vn.role:Agent	"authority"
0	"different datasets"	rdfs:subClassOf	"datasets"
0	"different"	rdfs:member	"different datasets"
0	"refer"	vn.role:Theme	"different datasets"
0	"different iris"	rdfs:subClassOf	"iris"
0	"different"	rdfs:member	"different iris"
0	"thing by different iris"	local:by_differentiris	"thing"
0	"thing by different iris"	local:thing_by	"different iris"
0	"refer"	vn.role:Recipient	"thing by different iris"
1	"sameas statements"	rdfs:subClassOf	"statements"
1	"sameas"	rdfs:member	"sameas statements"
1	"thing owl"	local:_owl	"thing"
1	"thing owl"	local:thing_	"owl"
1	"denote"	vn.role:Topic	"thing owl"
1	"sameas statements"	rdfs:subClassOf	"statements"
1	"sameas"	rdfs:member	"sameas statements"
1	"thing owl"	local:_owl	"thing"
1	"thing owl"	local:thing_	"owl"
1	"needed"	vn.role:Patient	"thing owl"
1	"foster reuse"	rdfs:subClassOf	"reuse"
1	"foster"	rdfs:member	"foster reuse"
1	"needed"	local:AM-PNC	"order"
1	"sameas statements"	rdfs:subClassOf	"statements"
1	"sameas"	rdfs:member	"sameas statements"
1	"thing owl"	local:_owl	"thing"
1	"thing owl"	local:thing_	"owl"
1	"link"	vn.role:Agent	"thing owl"
1	"foster reuse"	rdfs:subClassOf	"reuse"
1	"foster"	rdfs:member	"foster reuse"
1	"link"	vn.role:Patient	"data"
2	"date"	vn.role:Theme	"studies"
2	"far date"	rdfs:subClassOf	"date"
2	"as far"	rdfs:subClassOf	"far"
2	"back far date"	rdfs:subClassOf	"far date"
2	"as far as 2009"	local:as_2009	"as far"
2	"as far as 2009"	local:asfar_as	"2009"
2	"observed"	vn.role:Agent	"studies"
2	"sameas"	rdfs:member	"sameas property"
2	"sameas property"	rdfs:subClassOf	"property"
2	"incorrectly used"	rdfs:subClassOf	"used"
2	"sometimes incorrectly used"	rdfs:subClassOf	"incorrectly used"
2	"owl sometimes incorrectly used"	local:_sometimesincorrectlyused	"owl"
2	"owl sometimes incorrectly used"	local:owl_	"sometimes incorrectly used"
2	"observed"	vn.role:Theme	"owl sometimes incorrectly used"
2	"sameas"	rdfs:member	"sameas property"
2	"sameas property"	rdfs:subClassOf	"property"
2	"used"	vn.role:Theme	"owl"
2	"used"	local:AM-TMP	"sometimes"
2	"used"	vn.role:Theme	"incorrectly"
3	"show"	local:AM-LOC	"paper"
3	"show"	vn.role:Agent	"we"
3	"possibly erroneous"	rdfs:subClassOf	"erroneous"
3	"sameas property"	rdfs:subClassOf	"property"
