0	"lod cloud"	rdfs:subClassOf	"cloud"
0	"lod"	rdfs:member	"lod cloud"
0	"offers"	vn.role:Agent	"lod cloud"
0	"rdf data sources"	rdfs:subClassOf	"sources"
0	"data"	rdfs:member	"data sources"
0	"sparql"	rdfs:member	"sparql queries"
0	"rdf"	rdfs:member	"rdf data"
0	"sparql queries"	rdfs:subClassOf	"queries"
0	"rdf data"	rdfs:subClassOf	"data"
0	"rdf data"	rdfs:member	"rdf data sources"
0	"data sources"	rdfs:subClassOf	"sources"
0	"where discover"	rdfs:subClassOf	"discover"
0	"rdf data sources"	rdfs:subClassOf	"data sources"
0	"plethora of rdf data sources"	local:of_rdfdatasources	"plethora"
0	"plethora of rdf data sources"	local:plethora_of	"rdf data sources"
0	"items of interest"	local:of_interest	"items"
0	"items of interest"	local:items_of	"interest"
0	"offers"	vn.role:Theme	"plethora of rdf data sources"
0	"rdf data sources"	rdfs:subClassOf	"sources"
0	"data"	rdfs:member	"data sources"
0	"rdf"	rdfs:member	"rdf data"
0	"rdf data"	rdfs:subClassOf	"data"
0	"rdf data"	rdfs:member	"rdf data sources"
0	"data sources"	rdfs:subClassOf	"sources"
0	"rdf data sources"	rdfs:subClassOf	"data sources"
0	"discover"	local:AM-LOC	"rdf data sources"
0	"discover"	vn.role:Agent	"users"
0	"items of interest"	local:of_interest	"items"
0	"items of interest"	local:items_of	"interest"
0	"discover"	vn.role:Theme	"items of interest"
0	"sparql queries"	rdfs:subClassOf	"queries"
0	"sparql"	rdfs:member	"sparql queries"
0	"discover"	local:AM-MNR	"issuing"
0	"issuing"	vn.role:Theme	"users"
0	"sparql queries"	rdfs:subClassOf	"queries"
0	"sparql"	rdfs:member	"sparql queries"
0	"issuing"	vn.role:Theme	"sparql queries"
1	"common query"	rdfs:subClassOf	"query"
1	"common query"	rdfs:member	"common query problem"
1	"query problem"	rdfs:subClassOf	"problem"
1	"common query problem"	rdfs:subClassOf	"problem"
1	"query"	rdfs:member	"query problem"
1	"common"	rdfs:member	"common query"
1	"common query problem"	rdfs:subClassOf	"query problem"
1	"common query problem for users"	local:for_users	"common query problem"
1	"common query problem for users"	local:commonqueryproblem_for	"users"
1	"face"	vn.role:Theme	"common query problem for users"
1	"empty"	rdfs:member	"empty answers"
1	"empty answers"	rdfs:subClassOf	"answers"
1	"face"	local:AM-MNR	"empty answers"
1	"non-empty set"	rdfs:subClassOf	"set"
1	"non-empty"	rdfs:member	"non-empty set"
1	"sparql"	rdfs:member	"sparql query"
1	"sparql query"	rdfs:subClassOf	"query"
1	"how refine"	rdfs:subClassOf	"refine"
1	"face"	vn.role:Theme	"sparql query"
1	"empty"	rdfs:member	"empty answers"
1	"empty answers"	rdfs:subClassOf	"answers"
1	"given"	vn.role:indirect_object	"empty answers"
1	"non-empty set"	rdfs:subClassOf	"set"
1	"non-empty"	rdfs:member	"non-empty set"
1	"sparql"	rdfs:member	"sparql query"
1	"sparql query"	rdfs:subClassOf	"query"
1	"how refine"	rdfs:subClassOf	"refine"
1	"given"	vn.role:object	"sparql query"
1	"sparql"	rdfs:member	"sparql query"
1	"sparql query"	rdfs:subClassOf	"query"
1	"returns"	vn.role:Agent	"sparql query"
1	"returns"	vn.role:Recipient	"nothing"
1	"non-empty set"	rdfs:subClassOf	"set"
1	"non-empty"	rdfs:member	"non-empty set"
1	"returns"	vn.role:Theme	"refine"
1	"sparql"	rdfs:member	"sparql query"
1	"sparql query"	rdfs:subClassOf	"query"
1	"refine"	vn.role:Agent	"sparql query"
1	"refine"	vn.role:Theme	"query"
1	"non-empty set"	rdfs:subClassOf	"set"
1	"non-empty"	rdfs:member	"non-empty set"
1	"refine"	local:AM-PNC	"obtain"
1	"sparql"	rdfs:member	"sparql query"
1	"sparql query"	rdfs:subClassOf	"query"
1	"obtain"	vn.role:Asset	"sparql query"
1	"non-empty set"	rdfs:subClassOf	"set"
1	"non-empty"	rdfs:member	"non-empty set"
1	"obtain"	vn.role:object	"set"
2	"based"	local:AM-LOC	"paper"
2	"based"	vn.role:Experiencer	"we"
2	"based"	vn.role:Cause	"framework"
2	"vector"	rdfs:member	"vector space"
2	"empty-answer problem"	rdfs:subClassOf	"problem"
2	"sparql empty-answer problem"	rdfs:subClassOf	"problem"
2	"sparql"	rdfs:member	"sparql empty-answer"
2	"continuous vector"	rdfs:member	"continuous vector space"
2	"empty-answer"	rdfs:member	"empty-answer problem"
2	"continuous vector"	rdfs:subClassOf	"vector"
2	"continuous vector space"	rdfs:subClassOf	"space"
2	"sparql empty-answer"	rdfs:subClassOf	"empty-answer"
2	"continuous"	rdfs:member	"continuous vector"
2	"sparql empty-answer"	rdfs:member	"sparql empty-answer problem"
2	"vector space"	rdfs:subClassOf	"space"
2	"continuous vector space"	rdfs:subClassOf	"vector space"
2	"sparql empty-answer problem"	rdfs:subClassOf	"empty-answer problem"
2	"solve in terms"	local:in_terms	"solve"
2	"solve in terms"	local:solve_in	"terms"
2	"terms of continuous vector space"	local:of_continuousvectorspace	"terms"
2	"terms of continuous vector space"	local:terms_of	"continuous vector space"
2	"based"	vn.role:indirect_object	"solve in terms"
2	"solve"	vn.role:Location	"we"
2	"empty-answer problem"	rdfs:subClassOf	"problem"
2	"sparql empty-answer problem"	rdfs:subClassOf	"problem"
2	"sparql"	rdfs:member	"sparql empty-answer"
2	"empty-answer"	rdfs:member	"empty-answer problem"
2	"sparql empty-answer"	rdfs:subClassOf	"empty-answer"
2	"sparql empty-answer"	rdfs:member	"sparql empty-answer problem"
2	"sparql empty-answer problem"	rdfs:subClassOf	"empty-answer problem"
2	"solve"	vn.role:object	"sparql empty-answer problem"
2	"vector"	rdfs:member	"vector space"
2	"continuous vector"	rdfs:member	"continuous vector space"
2	"continuous vector"	rdfs:subClassOf	"vector"
2	"continuous vector space"	rdfs:subClassOf	"space"
2	"continuous"	rdfs:member	"continuous vector"
2	"vector space"	rdfs:subClassOf	"space"
2	"continuous vector space"	rdfs:subClassOf	"vector space"
2	"terms of continuous vector space"	local:of_continuousvectorspace	"terms"
2	"terms of continuous vector space"	local:terms_of	"continuous vector space"
2	"solve"	local:AM-MNR	"terms of continuous vector space"
3	"project"	vn.role:Agent	"we"
3	"project"	local:AM-TMP	"first"
3	"rdf graph"	rdfs:subClassOf	"graph"
3	"rdf"	rdfs:member	"rdf graph"
3	"project"	vn.role:Theme	"rdf graph"
3	"entity"	rdfs:member	"entity context"
3	"vector"	rdfs:member	"vector space"
3	"translational embedding model"	rdfs:subClassOf	"model"
3	"sparql"	rdfs:member	"sparql queries"
3	"entity context"	rdfs:subClassOf	"context"
3	"embedding model"	rdfs:subClassOf	"model"
3	"embedding"	rdfs:member	"embedding model"
3	"continuous vector"	rdfs:member	"continuous vector space"
3	"translational embedding"	rdfs:subClassOf	"embedding"
3	"sparql queries"	rdfs:subClassOf	"queries"
3	"translational"	rdfs:member	"translational embedding"
3	"continuous vector"	rdfs:subClassOf	"vector"
3	"translational embedding"	rdfs:member	"translational embedding model"
3	"continuous vector space"	rdfs:subClassOf	"space"
3	"continuous"	rdfs:member	"continuous vector"
3	"vector space"	rdfs:subClassOf	"space"
3	"specially designed"	rdfs:subClassOf	"designed"
3	"translational embedding model"	rdfs:subClassOf	"embedding model"
3	"continuous vector space"	rdfs:subClassOf	"vector space"
3	"continuous vector space by entity context"	local:by_entitycontext	"continuous vector space"
3	"continuous vector space by entity context"	local:continuousvectorspace_by	"entity context"
3	"entity context preserving"	local:_preserving	"entity context"
3	"entity context preserving"	local:entitycontext_	"preserving"
3	"specially designed for sparql queries"	local:for_sparqlqueries	"specially designed"
3	"specially designed for sparql queries"	local:speciallydesigned_for	"sparql queries"
3	"project"	vn.role:Location	"continuous vector space by entity context"
3	"preserving"	vn.role:Agent	"we"
3	"entity context"	rdfs:subClassOf	"context"
3	"entity"	rdfs:member	"entity context"
3	"preserving"	vn.role:Agent	"entity context"
3	"translational embedding model"	rdfs:subClassOf	"model"
3	"embedding model"	rdfs:subClassOf	"model"
3	"sparql"	rdfs:member	"sparql queries"
3	"embedding"	rdfs:member	"embedding model"
3	"translational embedding"	rdfs:subClassOf	"embedding"
3	"sparql queries"	rdfs:subClassOf	"queries"
3	"translational"	rdfs:member	"translational embedding"
3	"translational embedding"	rdfs:member	"translational embedding model"
3	"specially designed"	rdfs:subClassOf	"designed"
3	"translational embedding model"	rdfs:subClassOf	"embedding model"
3	"specially designed for sparql queries"	local:for_sparqlqueries	"specially designed"
3	"specially designed for sparql queries"	local:speciallydesigned_for	"sparql queries"
3	"preserving"	vn.role:Theme	"translational embedding model"
3	"translational embedding model"	rdfs:subClassOf	"model"
3	"embedding model"	rdfs:subClassOf	"model"
3	"embedding"	rdfs:member	"embedding model"
3	"translational embedding"	rdfs:subClassOf	"embedding"
3	"translational embedding"	rdfs:member	"translational embedding model"
3	"translational"	rdfs:member	"translational embedding"
3	"translational embedding model"	rdfs:subClassOf	"embedding model"
3	"designed"	vn.role:Product	"translational embedding model"
3	"designed"	local:AM-MNR	"specially"
3	"sparql queries"	rdfs:subClassOf	"queries"
3	"sparql"	rdfs:member	"sparql queries"
3	"designed"	vn.role:Beneficiary	"sparql queries"
4	"given"	vn.role:Asset	"then"
4	"empty set"	rdfs:subClassOf	"set"
4	"compute approximate answers"	rdfs:subClassOf	"answers"
4	"several"	rdfs:member	"several parts"
4	"translation"	rdfs:member	"translation mechanism"
4	"compute approximate"	rdfs:subClassOf	"approximate"
4	"sparql query"	rdfs:subClassOf	"query"
4	"rdf embeddings"	rdfs:subClassOf	"embeddings"
4	"several parts"	rdfs:subClassOf	"parts"
4	"approximate answers"	rdfs:subClassOf	"answers"
4	"translation mechanism"	rdfs:subClassOf	"mechanism"
4	"approximate"	rdfs:member	"approximate answers"
4	"compute approximate"	rdfs:member	"compute approximate answers"
4	"compute"	rdfs:member	"compute approximate"
4	"rdf"	rdfs:member	"rdf embeddings"
4	"empty"	rdfs:member	"empty set"
4	"sparql"	rdfs:member	"sparql query"
4	"empty empty set"	rdfs:subClassOf	"empty set"
4	"query partition"	rdfs:subClassOf	"partition"
4	"empty set into several parts"	local:into_severalparts	"empty set"
4	"empty set into several parts"	local:emptyset_into	"several parts"
4	"given"	vn.role:object	"query partition"
4	"sparql"	rdfs:member	"sparql query"
4	"sparql query"	rdfs:subClassOf	"query"
4	"returns"	vn.role:Agent	"sparql query"
4	"empty set"	rdfs:subClassOf	"set"
4	"empty"	rdfs:member	"empty set"
4	"returns"	vn.role:Theme	"empty set"
4	"empty set"	rdfs:subClassOf	"set"
4	"empty"	rdfs:member	"empty set"
4	"several parts"	rdfs:subClassOf	"parts"
4	"several"	rdfs:member	"several parts"
4	"empty set into several parts"	local:into_severalparts	"empty set"
4	"empty set into several parts"	local:emptyset_into	"several parts"
4	"returns"	vn.role:other	"partition"
4	"partition"	vn.role:Agent	"we"
4	"several parts"	rdfs:subClassOf	"parts"
4	"several"	rdfs:member	"several parts"
4	"empty set"	local:_set	"empty"
4	"empty set"	local:empty_	"set"
4	"set into several parts"	local:into_severalparts	"set"
4	"set into several parts"	local:set_into	"several parts"
4	"partition"	vn.role:Patient	"empty set"
4	"compute"	vn.role:Agent	"we"
4	"approximate answers"	rdfs:subClassOf	"answers"
4	"approximate"	rdfs:member	"approximate answers"
4	"compute"	vn.role:Product	"approximate answers"
4	"translation"	rdfs:member	"translation mechanism"
4	"rdf"	rdfs:member	"rdf embeddings"
4	"rdf embeddings"	rdfs:subClassOf	"embeddings"
4	"translation mechanism"	rdfs:subClassOf	"mechanism"
4	"compute"	local:AM-MNR	"leveraging"
4	"rdf"	rdfs:member	"rdf embeddings"
4	"rdf embeddings"	rdfs:subClassOf	"embeddings"
4	"leveraging"	vn.role:Theme	"rdf embeddings"
5	"generate"	vn.role:Theme1	"we"
5	"generate"	local:AM-DIS	"also"
5	"returned"	rdfs:member	"returned answers"
5	"alternative queries"	rdfs:subClassOf	"queries"
5	"users expectations"	rdfs:subClassOf	"expectations"
5	"alternative"	rdfs:member	"alternative queries"
5	"original query"	rdfs:subClassOf	"query"
5	"original"	rdfs:member	"original query"
5	"returned answers"	rdfs:subClassOf	"answers"
5	"users"	rdfs:member	"users expectations"
5	"finally refine"	rdfs:subClassOf	"refine"
5	"alternative queries for returned answers"	local:for_returnedanswers	"alternative queries"
5	"alternative queries for returned answers"	local:alternativequeries_for	"returned answers"
5	"generate"	vn.role:Theme2	"alternative queries for returned answers"
5	"returned"	vn.role:Theme	"answers"
5	"helps"	vn.role:Agent	"returned"
5	"original query"	rdfs:subClassOf	"query"
5	"original"	rdfs:member	"original query"
5	"users expectations"	rdfs:subClassOf	"expectations"
5	"users"	rdfs:member	"users expectations"
5	"finally refine"	rdfs:subClassOf	"refine"
5	"helps"	vn.role:Beneficiary	"recognize"
5	"recognize"	vn.role:Agent	"users"
5	"users expectations"	rdfs:subClassOf	"expectations"
5	"users"	rdfs:member	"users expectations"
5	"recognize"	vn.role:Theme	"users expectations"
5	"refine"	vn.role:Agent	"we"
5	"refine"	local:AM-DIS	"also"
5	"refine"	vn.role:Agent	"users"
5	"original query"	rdfs:subClassOf	"query"
5	"original"	rdfs:member	"original query"
5	"finally query"	rdfs:subClassOf	"query"
5	"original finally query"	rdfs:subClassOf	"finally query"
5	"refine"	vn.role:Theme	"original finally query"
6	"real-world rdf dataset"	rdfs:subClassOf	"dataset"
6	"rdf"	rdfs:member	"rdf dataset"
6	"rdf dataset"	rdfs:subClassOf	"dataset"
6	"real-world"	rdfs:member	"real-world rdf"
6	"real-world rdf"	rdfs:subClassOf	"rdf"
6	"real-world rdf"	rdfs:member	"real-world rdf dataset"
6	"extensive experiments"	rdfs:subClassOf	"experiments"
6	"extensive"	rdfs:member	"extensive experiments"
6	"real-world rdf dataset"	rdfs:subClassOf	"rdf dataset"
6	"our conduct"	rdfs:subClassOf	"conduct"
6	"our framework"	rdfs:subClassOf	"framework"
6	"effectiveness of our framework"	local:of_ourframework	"effectiveness"
6	"effectiveness of our framework"	local:effectiveness_of	"our framework"
6	"extensive experiments on real-world rdf dataset"	local:on_real-worldrdfdataset	"extensive experiments"
6	"extensive experiments on real-world rdf dataset"	local:extensiveexperiments_on	"real-world rdf dataset"
6	"validate"	vn.role:Theme	"extensive experiments on real-world rdf dataset"
7	"show"	vn.role:Agent	"results"
7	"approximate answers"	rdfs:subClassOf	"answers"
7	"approximate"	rdfs:member	"approximate answers"
7	"significantly improve"	rdfs:subClassOf	"improve"
7	"can significantly improve"	rdfs:subClassOf	"significantly improve"
7	"quality of approximate answers"	local:of_approximateanswers	"quality"
7	"quality of approximate answers"	local:quality_of	"approximate answers"
7	"show"	vn.role:Theme	"can significantly improve"
7	"improve"	vn.role:Agent	"framework"
7	"improve"	local:AM-MOD	"can"
7	"improve"	local:AM-MNR	"significantly"
7	"approximate answers"	rdfs:subClassOf	"answers"
7	"approximate"	rdfs:member	"approximate answers"
7	"quality of approximate answers"	local:of_approximateanswers	"quality"
7	"quality of approximate answers"	local:quality_of	"approximate answers"
7	"improve"	vn.role:Patient	"quality of approximate answers"
8	"show"	vn.role:Agent	"results"
8	"alternative"	rdfs:member	"alternative queries"
8	"alternative queries"	rdfs:subClassOf	"queries"
8	"significantly speed"	rdfs:subClassOf	"speed"
8	"can significantly speed"	rdfs:subClassOf	"significantly speed"
8	"generation of alternative queries"	local:of_alternativequeries	"generation"
8	"generation of alternative queries"	local:generation_of	"alternative queries"
8	"show"	vn.role:Theme	"can significantly speed"
8	"speed"	vn.role:Agent	"framework"
8	"speed"	local:AM-MOD	"can"
8	"speed"	local:AM-MNR	"significantly"
8	"alternative"	rdfs:member	"alternative queries"
8	"alternative queries"	rdfs:subClassOf	"queries"
8	"generation of alternative queries"	local:of_alternativequeries	"generation"
8	"generation of alternative queries"	local:generation_of	"alternative queries"
8	"speed"	vn.role:Theme	"generation of alternative queries"
