0	"semantic web"	rdfs:subClassOf	"web"
0	"connects"	vn.role:Agent	"semantic web"
0	"knowledge bases"	rdfs:subClassOf	"bases"
0	"collaborative platforms"	rdfs:subClassOf	"platforms"
0	"huge knowledge bases"	rdfs:subClassOf	"bases"
0	"huge knowledge"	rdfs:subClassOf	"knowledge"
0	"heterogeneous databases"	rdfs:subClassOf	"databases"
0	"has generated"	rdfs:subClassOf	"generated"
0	"bases content"	rdfs:subClassOf	"content"
0	"huge knowledge bases"	rdfs:subClassOf	"knowledge bases"
0	"has generated from collaborative platforms"	local:from_collaborativeplatforms	"has generated"
0	"has generated from collaborative platforms"	local:hasgenerated_from	"collaborative platforms"
0	"has generated from collaborative platforms by integration"	local:by_integration	"has generated from collaborative platforms"
0	"has generated from collaborative platforms by integration"	local:hasgeneratedfromcollaborativeplatforms_by	"integration"
0	"integration of heterogeneous databases"	local:of_heterogeneousdatabases	"integration"
0	"integration of heterogeneous databases"	local:integration_of	"heterogeneous databases"
0	"connects"	vn.role:Patient	"huge knowledge bases"
0	"collaborative platforms"	rdfs:subClassOf	"platforms"
0	"generated"	vn.role:Predicate	"collaborative platforms"
1	"huge knowledge"	rdfs:subClassOf	"knowledge"
1	"huge knowledge bases"	rdfs:subClassOf	"bases"
1	"knowledge bases"	rdfs:subClassOf	"bases"
1	"huge knowledge bases"	rdfs:subClassOf	"knowledge bases"
1	"naturally huge knowledge bases"	rdfs:subClassOf	"huge knowledge bases"
1	"generated"	vn.role:Theme2	"naturally huge knowledge bases"
1	"collaborative platforms"	rdfs:subClassOf	"platforms"
1	"generated"	vn.role:Predicate	"collaborative platforms"
1	"knowledge bases"	rdfs:subClassOf	"bases"
1	"collaborative platforms"	rdfs:subClassOf	"platforms"
1	"huge knowledge bases"	rdfs:subClassOf	"bases"
1	"huge knowledge"	rdfs:subClassOf	"knowledge"
1	"heterogeneous databases"	rdfs:subClassOf	"databases"
1	"has generated"	rdfs:subClassOf	"generated"
1	"bases content"	rdfs:subClassOf	"content"
1	"huge knowledge bases"	rdfs:subClassOf	"knowledge bases"
1	"has generated from collaborative platforms"	local:from_collaborativeplatforms	"has generated"
1	"has generated from collaborative platforms"	local:hasgenerated_from	"collaborative platforms"
1	"has generated from collaborative platforms by integration"	local:by_integration	"has generated from collaborative platforms"
1	"has generated from collaborative platforms by integration"	local:hasgeneratedfromcollaborativeplatforms_by	"integration"
1	"integration of heterogeneous databases"	local:of_heterogeneousdatabases	"integration"
1	"integration of heterogeneous databases"	local:integration_of	"heterogeneous databases"
1	"contain"	vn.role:Theme1	"naturally"
1	"erroneous data"	rdfs:subClassOf	"data"
1	"contain"	vn.role:Theme2	"erroneous data"
2	"huge knowledge"	rdfs:subClassOf	"knowledge"
2	"huge knowledge bases"	rdfs:subClassOf	"bases"
2	"knowledge bases"	rdfs:subClassOf	"bases"
2	"collaborative platforms"	rdfs:subClassOf	"platforms"
2	"has generated"	rdfs:subClassOf	"generated"
2	"bases content"	rdfs:subClassOf	"content"
2	"huge knowledge bases"	rdfs:subClassOf	"knowledge bases"
2	"has generated from collaborative platforms"	local:from_collaborativeplatforms	"has generated"
2	"has generated from collaborative platforms"	local:hasgenerated_from	"collaborative platforms"
2	"knowing"	vn.role:Theme	"huge knowledge bases"
2	"huge knowledge"	rdfs:subClassOf	"knowledge"
2	"huge knowledge bases"	rdfs:subClassOf	"bases"
2	"knowledge bases"	rdfs:subClassOf	"bases"
2	"whose content"	rdfs:subClassOf	"content"
2	"huge knowledge bases"	rdfs:subClassOf	"knowledge bases"
2	"generated"	vn.role:Theme2	"huge knowledge bases"
2	"collaborative platforms"	rdfs:subClassOf	"platforms"
2	"generated"	vn.role:Predicate	"collaborative platforms"
2	"collaborative platforms"	rdfs:subClassOf	"platforms"
2	"generated"	vn.role:Predicate	"collaborative platforms"
2	"knowledge bases"	rdfs:subClassOf	"bases"
2	"collaborative platforms"	rdfs:subClassOf	"platforms"
2	"huge knowledge bases"	rdfs:subClassOf	"bases"
2	"huge knowledge"	rdfs:subClassOf	"knowledge"
2	"heterogeneous databases"	rdfs:subClassOf	"databases"
2	"data quality"	rdfs:subClassOf	"quality"
2	"databases data quality"	rdfs:subClassOf	"data quality"
2	"heterogeneous databases data quality"	rdfs:subClassOf	"databases data quality"
2	"has generated"	rdfs:subClassOf	"generated"
2	"bases content"	rdfs:subClassOf	"content"
2	"huge knowledge bases"	rdfs:subClassOf	"knowledge bases"
2	"has generated from collaborative platforms"	local:from_collaborativeplatforms	"has generated"
2	"has generated from collaborative platforms"	local:hasgenerated_from	"collaborative platforms"
2	"has generated from collaborative platforms by integration"	local:by_integration	"has generated from collaborative platforms"
2	"has generated from collaborative platforms by integration"	local:hasgeneratedfromcollaborativeplatforms_by	"integration"
2	"integration of heterogeneous databases data quality"	local:of_heterogeneousdatabasesdataquality	"integration"
2	"integration of heterogeneous databases data quality"	local:integration_of	"heterogeneous databases data quality"
2	"guarantee"	vn.role:Agent	"huge knowledge bases"
2	"knowledge bases"	rdfs:subClassOf	"bases"
2	"reliable results"	rdfs:subClassOf	"results"
2	"collaborative platforms"	rdfs:subClassOf	"platforms"
2	"heterogeneous databases returns"	rdfs:subClassOf	"returns"
2	"huge knowledge bases"	rdfs:subClassOf	"bases"
2	"databases returns"	rdfs:subClassOf	"returns"
2	"huge knowledge"	rdfs:subClassOf	"knowledge"
2	"heterogeneous databases"	rdfs:subClassOf	"databases"
2	"heterogeneous databases returns"	rdfs:subClassOf	"databases returns"
2	"has generated"	rdfs:subClassOf	"generated"
2	"bases content"	rdfs:subClassOf	"content"
2	"huge knowledge bases"	rdfs:subClassOf	"knowledge bases"
2	"has generated from collaborative platforms"	local:from_collaborativeplatforms	"has generated"
2	"has generated from collaborative platforms"	local:hasgenerated_from	"collaborative platforms"
2	"has generated from collaborative platforms by integration"	local:by_integration	"has generated from collaborative platforms"
2	"has generated from collaborative platforms by integration"	local:hasgeneratedfromcollaborativeplatforms_by	"integration"
2	"integration of heterogeneous databases returns"	local:of_heterogeneousdatabasesreturns	"integration"
2	"integration of heterogeneous databases returns"	local:integration_of	"heterogeneous databases returns"
2	"guarantee"	vn.role:Theme	"querying"
2	"huge knowledge"	rdfs:subClassOf	"knowledge"
2	"huge knowledge bases"	rdfs:subClassOf	"bases"
2	"knowledge bases"	rdfs:subClassOf	"bases"
2	"collaborative platforms"	rdfs:subClassOf	"platforms"
2	"has generated"	rdfs:subClassOf	"generated"
2	"bases content"	rdfs:subClassOf	"content"
2	"huge knowledge bases"	rdfs:subClassOf	"knowledge bases"
2	"has generated from collaborative platforms"	local:from_collaborativeplatforms	"has generated"
2	"has generated from collaborative platforms"	local:hasgenerated_from	"collaborative platforms"
2	"querying"	vn.role:Theme	"huge knowledge bases"
2	"huge knowledge"	rdfs:subClassOf	"knowledge"
2	"huge knowledge bases"	rdfs:subClassOf	"bases"
2	"knowledge bases"	rdfs:subClassOf	"bases"
2	"collaborative platforms"	rdfs:subClassOf	"platforms"
2	"has generated"	rdfs:subClassOf	"generated"
2	"bases content"	rdfs:subClassOf	"content"
2	"huge knowledge bases"	rdfs:subClassOf	"knowledge bases"
2	"has generated from collaborative platforms"	local:from_collaborativeplatforms	"has generated"
2	"has generated from collaborative platforms"	local:hasgenerated_from	"collaborative platforms"
2	"returns"	local:AM-ADV	"knowing"
2	"knowledge bases"	rdfs:subClassOf	"bases"
2	"collaborative platforms"	rdfs:subClassOf	"platforms"
2	"huge knowledge bases"	rdfs:subClassOf	"bases"
2	"huge knowledge"	rdfs:subClassOf	"knowledge"
2	"heterogeneous databases"	rdfs:subClassOf	"databases"
2	"has generated"	rdfs:subClassOf	"generated"
2	"bases content"	rdfs:subClassOf	"content"
2	"huge knowledge bases"	rdfs:subClassOf	"knowledge bases"
2	"has generated from collaborative platforms"	local:from_collaborativeplatforms	"has generated"
2	"has generated from collaborative platforms"	local:hasgenerated_from	"collaborative platforms"
2	"has generated from collaborative platforms by integration"	local:by_integration	"has generated from collaborative platforms"
2	"has generated from collaborative platforms by integration"	local:hasgeneratedfromcollaborativeplatforms_by	"integration"
2	"integration of heterogeneous databases"	local:of_heterogeneousdatabases	"integration"
2	"integration of heterogeneous databases"	local:integration_of	"heterogeneous databases"
2	"returns"	vn.role:Agent	"querying"
2	"reliable results"	rdfs:subClassOf	"results"
2	"returns"	vn.role:Theme	"reliable results"
3	"described"	vn.role:Agent	"roles"
3	"described"	vn.role:Theme	"individuals"
3	"described"	vn.role:Predicate	"data"
3	"having"	vn.role:Experiencer	"roles"
3	"having"	vn.role:Experiencer	"individuals"
3	"having"	vn.role:Stimulus	"data"
5	"cardinality constraints"	rdfs:subClassOf	"constraints"
5	"cardinality constraints for roles"	local:for_roles	"cardinality constraints"
5	"cardinality constraints for roles"	local:cardinalityconstraints_for	"roles"
5	"distinguish"	vn.role:Agent	"cardinality constraints for roles"
5	"distinguish"	vn.role:Patient1	"correctly"
6	"distinguish"	vn.role:Agent	"roles"
6	"distinguish"	local:AM-MNR	"correctly"
6	"distinguish"	vn.role:Patient	"individuals"
6	"distinguish"	vn.role:Patient1	"incorrect"
6	"cardinality constraints"	rdfs:subClassOf	"constraints"
6	"cardinality constraints for roles"	local:for_roles	"cardinality constraints"
6	"cardinality constraints for roles"	local:cardinalityconstraints_for	"roles"
6	"described"	vn.role:Agent	"cardinality constraints for roles"
6	"described"	local:AM-MNR	"completely"
6	"described"	vn.role:Theme	"individuals"
6	"described"	vn.role:Predicate	"incorrect"
6	"having"	vn.role:Experiencer	"individuals"
6	"having"	vn.role:Stimulus	"incorrect"
7	"propose"	local:AM-LOC	"paper"
7	"propose"	vn.role:Agent	"we"
7	"maximum cardinality"	rdfs:subClassOf	"cardinality"
7	"knowledge base"	rdfs:subClassOf	"base"
7	"when exists"	rdfs:subClassOf	"exists"
7	"base content"	rdfs:subClassOf	"content"
7	"automatically discovering"	rdfs:subClassOf	"discovering"
7	"automatically discovering from base content"	local:from_basecontent	"automatically discovering"
7	"automatically discovering from base content"	local:automaticallydiscovering_from	"base content"
7	"maximum cardinality of roles"	local:of_roles	"maximum cardinality"
7	"maximum cardinality of roles"	local:maximumcardinality_of	"roles"
7	"roles for concept"	local:for_concept	"roles"
7	"roles for concept"	local:roles_for	"concept"
7	"propose"	vn.role:Topic	"method"
7	"discovering"	vn.role:Agent	"method"
7	"discovering"	local:AM-MNR	"automatically"
7	"discovering"	vn.role:Theme	"knowledge"
9	"design"	vn.role:Agent	"we"
9	"design"	local:AM-DIS	"also"
9	"search space"	rdfs:subClassOf	"space"
9	"exhaustive search"	rdfs:subClassOf	"search"
9	"knowledge base benefiting"	rdfs:subClassOf	"benefiting"
9	"knowledge base"	rdfs:subClassOf	"base"
9	"base benefiting"	rdfs:subClassOf	"benefiting"
9	"such constraints"	rdfs:subClassOf	"constraints"
9	"drastically reduce"	rdfs:subClassOf	"reduce"
9	"pruning properties"	rdfs:subClassOf	"properties"
9	"algorithm named"	local:_named	"algorithm"
9	"algorithm named"	local:algorithm_	"named"
9	"algorithm named for exhaustive search"	local:for_exhaustivesearch	"algorithm named"
9	"algorithm named for exhaustive search"	local:algorithmnamed_for	"exhaustive search"
9	"exhaustive search of such constraints"	local:of_suchconstraints	"exhaustive search"
9	"exhaustive search of such constraints"	local:exhaustivesearch_of	"such constraints"
9	"exhaustive search of such constraints in knowledge base"	local:in_knowledgebase	"exhaustive search of such constraints"
9	"exhaustive search of such constraints in knowledge base"	local:exhaustivesearchofsuchconstraints_in	"knowledge base"
9	"knowledge base benefiting"	local:_benefiting	"knowledge base"
9	"knowledge base benefiting"	local:knowledgebase_	"benefiting"
9	"benefiting from pruning properties"	local:from_pruningproperties	"benefiting"
9	"benefiting from pruning properties"	local:benefiting_from	"pruning properties"
9	"design"	vn.role:Product	"algorithm named for exhaustive search"
9	"named"	vn.role:Agent	"algorithm"
9	"named"	vn.role:Theme	"c3m"
9	"knowledge base"	rdfs:subClassOf	"base"
9	"benefiting"	vn.role:Asset	"knowledge base"
9	"search space"	rdfs:subClassOf	"space"
9	"drastically reduce"	rdfs:subClassOf	"reduce"
9	"pruning properties"	rdfs:subClassOf	"properties"
9	"benefiting"	vn.role:Theme	"pruning properties"
9	"pruning properties"	rdfs:subClassOf	"properties"
9	"reduce"	vn.role:Cause	"pruning properties"
9	"reduce"	local:AM-MNR	"drastically"
9	"search space"	rdfs:subClassOf	"space"
9	"reduce"	vn.role:Patient	"search space"
10	"conducted"	vn.role:Theme	"dbpedia"
10	"95 %"	rdfs:subClassOf	"%"
10	"higher precision"	rdfs:subClassOf	"precision"
10	"robustness of method"	local:of_method	"robustness"
10	"robustness of method"	local:robustness_of	"method"
10	"robustness of method with higher precision"	local:with_higherprecision	"robustness of method"
10	"robustness of method with higher precision"	local:robustnessofmethod_with	"higher precision"
10	"higher than 95 %"	local:than_95%	"higher"
10	"higher than 95 %"	local:higher_than	"95 %"
10	"conducted"	vn.role:Theme	"robustness of method with higher precision"
10	"conducted on dbpedia"	local:on_dbpedia	"conducted"
10	"conducted on dbpedia"	local:conducted_on	"dbpedia"
10	"highlight"	vn.role:Agent	"conducted on dbpedia"
10	"highlight"	local:AM-DIS	"also"
10	"95 %"	rdfs:subClassOf	"%"
10	"higher precision"	rdfs:subClassOf	"precision"
10	"robustness of method"	local:of_method	"robustness"
10	"robustness of method"	local:robustness_of	"method"
10	"robustness of method with higher precision"	local:with_higherprecision	"robustness of method"
10	"robustness of method with higher precision"	local:robustnessofmethod_with	"higher precision"
10	"higher than 95 %"	local:than_95%	"higher"
10	"higher than 95 %"	local:higher_than	"95 %"
10	"highlight"	vn.role:Theme	"robustness of method with higher precision"
10	"method,"	vn.role:subject	"we"
10	"95 %"	rdfs:subClassOf	"%"
10	"higher precision"	rdfs:subClassOf	"precision"
10	"higher than 95 %"	local:than_95%	"higher"
10	"higher than 95 %"	local:higher_than	"95 %"
10	"method,"	vn.role:indirect_object	"higher precision"
11	"conducted"	vn.role:Theme	"dbpedia"
11	"c3m method"	rdfs:subClassOf	"method"
11	"95 %"	rdfs:subClassOf	"%"
11	"higher precision"	rdfs:subClassOf	"precision"
11	"up scaling"	rdfs:subClassOf	"scaling"
11	"up of c3m method"	local:of_c3mmethod	"up"
11	"up of c3m method"	local:up_of	"c3m method"
11	"up scaling with higher precision"	local:with_higherprecision	"up scaling"
11	"up scaling with higher precision"	local:upscaling_with	"higher precision"
11	"higher than 95 %"	local:than_95%	"higher"
11	"higher than 95 %"	local:higher_than	"95 %"
11	"conducted"	vn.role:Theme	"up scaling with higher precision"
11	"conducted on dbpedia"	local:on_dbpedia	"conducted"
11	"conducted on dbpedia"	local:conducted_on	"dbpedia"
11	"demonstrate"	vn.role:Recipient	"conducted on dbpedia"
11	"c3m method"	rdfs:subClassOf	"method"
11	"95 %"	rdfs:subClassOf	"%"
11	"higher precision"	rdfs:subClassOf	"precision"
11	"up scaling"	rdfs:subClassOf	"scaling"
11	"up of c3m method"	local:of_c3mmethod	"up"
11	"up of c3m method"	local:up_of	"c3m method"
11	"up scaling with higher precision"	local:with_higherprecision	"up scaling"
11	"up scaling with higher precision"	local:upscaling_with	"higher precision"
11	"higher than 95 %"	local:than_95%	"higher"
11	"higher than 95 %"	local:higher_than	"95 %"
11	"demonstrate"	vn.role:Cause	"up scaling with higher precision"
