0	"real-world events"	rdfs:subClassOf	"events"
0	"online communities"	rdfs:subClassOf	"communities"
0	"real-world"	rdfs:member	"real-world events"
0	"online"	rdfs:member	"online communities"
0	"impact of real-world events"	local:of_real-worldevents	"impact"
0	"impact of real-world events"	local:impact_of	"real-world events"
0	"real-world events on online communities"	local:on_onlinecommunities	"real-world events"
0	"real-world events on online communities"	local:real-worldevents_on	"online communities"
0	"quantify"	vn.role:Theme	"impact of real-world events"
1	"detecting"	local:AM-MNR	"automatically"
1	"meaning changes"	rdfs:subClassOf	"changes"
1	"meaning"	rdfs:member	"meaning changes"
1	"detecting"	vn.role:Stimulus	"i.e."
1	"single words"	rdfs:subClassOf	"words"
1	"single"	rdfs:member	"single words"
1	"meaning changes"	rdfs:subClassOf	"changes"
1	"meaning changes of single words"	local:of_singlewords	"meaning changes"
1	"meaning changes of single words"	local:meaningchanges_of	"single words"
1	"received"	vn.role:Agent	"meaning changes of single words"
1	"received"	local:AM-TMP	"recently"
1	"strong research"	rdfs:member	"strong research attention"
1	"research"	rdfs:member	"research attention"
1	"strong"	rdfs:member	"strong research"
1	"strong research"	rdfs:subClassOf	"research"
1	"strong research attention"	rdfs:subClassOf	"attention"
1	"research attention"	rdfs:subClassOf	"attention"
1	"strong research attention"	rdfs:subClassOf	"research attention"
1	"received"	vn.role:Theme	"strong research attention"
2	"detecting"	local:AM-MNR	"automatically"
2	"semantic shifts"	rdfs:subClassOf	"shifts"
2	"semantic"	rdfs:member	"semantic shifts"
2	"detecting"	vn.role:Stimulus	"semantic shifts"
2	"semantic shifts"	rdfs:subClassOf	"shifts"
2	"single"	rdfs:member	"single words"
2	"single words"	rdfs:subClassOf	"words"
2	"semantic"	rdfs:member	"semantic shifts"
2	"automatically detecting"	rdfs:subClassOf	"detecting"
2	"semantic shifts of single words"	local:of_singlewords	"semantic shifts"
2	"semantic shifts of single words"	local:semanticshifts_of	"single words"
2	"received"	local:AM-ADV	"automatically detecting"
2	"received"	local:AM-TMP	"recently"
2	"strong research"	rdfs:member	"strong research attention"
2	"research"	rdfs:member	"research attention"
2	"strong"	rdfs:member	"strong research"
2	"strong research"	rdfs:subClassOf	"research"
